Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
4,4294967295,37371,47,aclnnEqScalar_EqualAiCore_Equal,Equal,dynamic,AI_VECTOR_CORE,1777097775243356.820	,2.120,0,1,0,NO,"""84;""",INT64;INT64,ND;ND,"""84""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.613,2903,0.286,0.177,0.558,0.346,0.356,0.221,0.132,0.082,0.134,0.000
4,4294967295,37372,47,aclnnReduceSum_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775243592.980	,1.360,234.130000,1,0,NO,"""84""",BOOL,ND,"""84""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.811,1460,0.041,0.05,0.262,0.323,0.124,0.153,0.152,0.187,0.229,0.000
4,4294967295,37373,47,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,ReduceSum,dynamic,MIX_AIV,1777097775243642.340	,2.820,47.890000,1,0,NO,"""84;1""",FLOAT;INT64,ND;ND,"""""",FLOAT,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.424,4363,0.081,0.033,1.274,0.526,0.127,0.052,0.108,0.044,0.205,0.000
4,4294967295,37374,47,aclnnReduceSum_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775243715.680	,1.320,70.680000,1,0,NO,"""""",FLOAT,ND,"""""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.773,1392,0.026,0.034,0.278,0.359,0.096,0.124,0.129,0.167,0.15,0.000
4,4294967295,37375,47,aclnnEqScalar_EqualAiCore_Equal,Equal,dynamic,AI_VECTOR_CORE,1777097775244030.520	,1.980,313.430000,1,0,NO,"""84;""",INT64;INT64,ND;ND,"""84""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.417,2551,0.298,0.21,0.561,0.396,0.283,0.2,0.139,0.098,0.116,0.000
4,4294967295,37376,47,aclnnReduceSum_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775244244.260	,1.300,211.770000,1,0,NO,"""84""",BOOL,ND,"""84""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.734,1321,0.041,0.055,0.292,0.397,0.114,0.155,0.162,0.221,0.16,0.000
4,4294967295,37377,47,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,ReduceSum,dynamic,MIX_AIV,1777097775244282.480	,2.640,36.950000,1,0,NO,"""84;1""",FLOAT;INT64,ND;ND,"""""",FLOAT,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.232,4018,0.081,0.036,1.222,0.547,0.138,0.062,0.104,0.047,0.174,0.000
4,4294967295,37378,47,aclnnReduceSum_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775244318.900	,1.240,33.860000,1,0,NO,"""""",FLOAT,ND,"""""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652,1173,0.026,0.04,0.269,0.413,0.091,0.139,0.141,0.216,0.178,0.000
4,4294967295,37379,47,aclnnArgMax_ArgMaxV2AiCore_ArgMaxV2,ArgMaxV2,dynamic,AI_VECTOR_CORE,1777097775245698.460	,346.660,1378.260000,5,0,NO,"""1,66,151936;""",DT_BF16;INT64,NCL;ND,"""1,66""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.603,2561426,162.804,0.572,24.349,0.086,97.384,0.342,0.106,0.0,0.006,0.000
4,4294967295,37380,47,aclnnArgMax_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775246045.140	,1.320,0.090000,1,0,NO,"""1,66""",INT32,ND,"""1,66""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808,1455,0.027,0.034,0.252,0.312,0.138,0.17,0.118,0.146,0.203,0.000
4,4294967295,37381,47,aclnnNeScalar_NotEqualAiCore_NotEqual,NotEqual,dynamic,AI_VECTOR_CORE,1777097775246046.480	,2.780,0.000000,1,0,NO,"""1,66;""",INT64;INT64,ND;ND,"""1,66""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.272,4089,0.347,0.153,0.568,0.25,0.483,0.213,0.119,0.052,0.139,0.000
4,4294967295,37382,47,aclnnEqTensor_EqualAiCore_Equal,Equal,dynamic,AI_VECTOR_CORE,1777097775246063.740	,2.320,14.470000,1,0,NO,"""1,66;1,66""",INT64;INT64,ND;ND,"""1,66""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.797,3235,0.342,0.19,0.623,0.347,0.233,0.13,0.103,0.057,0.189,0.000
4,4294967295,37383,47,aclnnBitwiseAndTensor_LogicalAndAiCore_LogicalAnd,LogicalAnd,dynamic,AI_VECTOR_CORE,1777097775246263.040	,1.540,196.930000,1,0,NO,"""1,66;1,66""",BOOL;BOOL,ND;ND,"""1,66""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.004,1808,0.068,0.068,0.289,0.288,0.186,0.185,0.149,0.148,0.177,0.000
4,4294967295,37384,47,aclnnReduceSum_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775246476.980	,1.300,212.460000,1,0,NO,"""1,66""",BOOL,ND,"""1,66""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,1370,0.041,0.053,0.265,0.348,0.129,0.169,0.187,0.245,0.194,0.000
4,4294967295,37385,47,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,ReduceSum,dynamic,MIX_AIV,1777097775246513.040	,3.000,34.700000,1,0,NO,"""1,66;2""",FLOAT;INT64,ND;ND,"""""",FLOAT,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.598,4676,0.081,0.031,1.267,0.488,0.153,0.059,0.129,0.05,0.199,0.000
4,4294967295,37386,47,aclnnReduceSum_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775246547.460	,1.260,31.500000,1,0,NO,"""""",FLOAT,ND,"""""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.691,1243,0.026,0.038,0.289,0.418,0.113,0.164,0.118,0.171,0.178,0.000
4,4294967295,37387,47,aclnnReduceSum_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775246879.480	,1.300,330.740000,1,0,NO,"""1,66""",BOOL,ND,"""1,66""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,1325,0.041,0.055,0.267,0.363,0.083,0.113,0.193,0.263,0.218,0.000
4,4294967295,37388,47,aclnnReduceSum_ReduceSumOpAiCore_ReduceSum,ReduceSum,dynamic,MIX_AIV,1777097775246909.720	,2.840,28.950000,1,0,NO,"""1,66;2""",FLOAT;INT64,ND;ND,"""""",FLOAT,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.537,4567,0.081,0.032,1.241,0.489,0.127,0.05,0.137,0.054,0.192,0.000
4,4294967295,37389,47,aclnnReduceSum_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775246947.080	,1.140,34.410000,1,0,NO,"""""",FLOAT,ND,"""""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673,1212,0.026,0.039,0.282,0.418,0.114,0.169,0.102,0.151,0.192,0.000
4,4294967295,37390,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775359035.180	,395.880,112087.110000,40,0,NO,"""77791232""",FLOAT,ND,"""77791232""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.345,28320808,23.118,0.059,4.295,0.011,390.771,0.993,106.122,0.27,0.005,0.000
4,4294967295,N/A,N/A,hcom_allGather__503_0_1,hcom_allGather_,N/A,COMMUNICATION,1777097775360002.260	,8610.840,571.120000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,37393,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775368615.160	,1.540,2.160000,1,0,NO,"""512""",FLOAT,ND,"""512""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.044,1879,0.027,0.026,0.251,0.241,0.255,0.244,0.128,0.122,0.145,0.000
4,4294967295,N/A,N/A,hcom_allGather__503_1_1,hcom_allGather_,N/A,COMMUNICATION,1777097775368618.840	,1619.620,1.960000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,37396,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775370240.300	,387.700,1.880000,40,0,NO,"""77791232""",FLOAT,ND,"""77791232""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.319,27598964,23.113,0.06,4.793,0.013,381.664,0.996,103.113,0.269,0.0,0.000
4,4294967295,N/A,N/A,hcom_allGather__503_2_1,hcom_allGather_,N/A,COMMUNICATION,1777097775370630.220	,8999.200,2.300000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,37399,47,aclnnEmbedding_GatherV2AiCore_GatherV2,GatherV2,dynamic,AI_VECTOR_CORE,1777097775379631.800	,7.060,2.300000,28,0,NO,"""151936,2048;1,84;1""",DT_BF16;INT64;INT64,ND;ND;ND,"""1,84,2048""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.797,241744,0.053,0.011,0.635,0.132,1.001,0.209,0.342,0.071,0.161,0.000
4,4294967295,37400,47,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775379638.880	,1.960,0.190000,1,0,NO,"""1,84""",INT64,ND,"""1,84""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.431,2575,0.094,0.066,0.281,0.197,0.252,0.176,0.115,0.08,0.19,0.000
4,4294967295,37401,47,aclnnAll_ReduceAll_ReduceAll,ReduceAll,dynamic,MIX_AIV,1777097775379642.580	,2.920,1.540000,1,0,NO,"""1,84;2""",BOOL;INT64,ND;ND,"""""",BOOL,ND,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,4590,0.079,0.031,0.672,0.264,0.099,0.039,0.086,0.034,0.265,0.000
4,4294967295,37402,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775381503.100	,1.460,1857.580000,1,0,NO,"""1,1,84""",INT64,NCL,"""1,1,84""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963,1734,0.027,0.028,0.293,0.304,0.229,0.238,0.164,0.17,0.169,0.000
4,4294967295,37403,47,aclnnMatmul_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1777097775382078.220	,9.320,573.790000,32,0,NO,"""1,64,1;1,1,84""",FLOAT;FLOAT,ND;ND,"""1,64,84""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51,374956,0.142,0.022,1.193,0.183,0.251,0.039,0.247,0.038,0.188,0.000
4,4294967295,37404,47,aclnnCat_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1777097775382633.880	,11.980,546.430000,40,0,NO,"""64,84;2""",FLOAT;INT64,NCL;ND,"""84,64""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.015,577045,0.034,0.004,1.258,0.157,1.022,0.128,0.032,0.004,0.189,0.000
4,4294967295,37405,47,aclnnCat_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1777097775382660.160	,9.080,14.270000,40,0,NO,"""64,84;2""",FLOAT;INT64,NCL;ND,"""84,64""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.612,404044,0.034,0.006,1.57,0.28,3.881,0.692,0.026,0.005,0.008,0.000
4,4294967295,37406,47,aclnnCat_ConcatD_ConcatD,ConcatD,dynamic,AI_VECTOR_CORE,1777097775382723.580	,4.780,54.170000,1,0,NO,"""1,84,64;1,84,64""",FLOAT;FLOAT,NCL;NCL,"""1,84,128""",FLOAT,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.203,7565,2.808,0.668,0.447,0.106,0.374,0.089,0.319,0.076,0.243,0.000
4,4294967295,37407,47,aclnnCos_CosAiCore_Cos,Cos,dynamic,AI_VECTOR_CORE,1777097775382974.580	,4.220,246.220000,11,0,NO,"""1,84,128""",FLOAT,NCL,"""1,84,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.881,57042,0.97,0.337,0.23,0.08,0.129,0.045,0.142,0.049,0.186,0.000
4,4294967295,37408,47,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1777097775383405.280	,2.920,426.530000,11,0,NO,"""1,84,128;""",FLOAT;FLOAT,NCL;ND,"""1,84,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.673,33120,0.032,0.019,0.201,0.12,0.237,0.142,0.154,0.092,0.198,0.000
4,4294967295,37409,47,aclnnSin_SinAiCore_Sin,Sin,dynamic,AI_VECTOR_CORE,1777097775383718.740	,3.960,310.580000,11,0,NO,"""1,84,128""",FLOAT,NCL,"""1,84,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.665,52775,0.915,0.343,0.213,0.08,0.126,0.047,0.146,0.055,0.186,0.000
4,4294967295,37410,47,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1777097775384098.820	,2.620,376.040000,11,0,NO,"""1,84,128;""",FLOAT;FLOAT,NCL;ND,"""1,84,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.378,27281,0.032,0.023,0.242,0.175,0.259,0.188,0.153,0.111,0.181,0.000
4,4294967295,37411,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775384453.720	,2.960,352.380000,11,0,NO,"""1,84,128""",FLOAT,NCL,"""1,84,128""",DT_BF16,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654,32741,0.031,0.019,0.159,0.096,0.127,0.077,0.143,0.086,0.206,0.000
4,4294967295,37412,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775384851.560	,2.260,394.790000,11,0,NO,"""1,84,128""",FLOAT,NCL,"""1,84,128""",DT_BF16,NCL,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.106,21906,0.031,0.028,0.174,0.157,0.149,0.134,0.141,0.127,0.179,0.000
4,4294967295,37413,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775387813.680	,12.900,2959.990000,40,0,NO,"""2097152""",FLOAT,ND,"""2097152""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.483,754764,0.658,0.063,0.79,0.075,9.16,0.874,1.774,0.169,0.022,0.000
4,4294967295,N/A,N/A,hcom_allGather__503_3_1,hcom_allGather_,N/A,COMMUNICATION,1777097775388667.540	,1785.560,840.850000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,37416,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775390455.420	,1.760,2.440000,4,0,NO,"""4096""",FLOAT,ND,"""4096""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.037,7469,0.031,0.03,0.183,0.176,0.28,0.27,0.147,0.142,0.109,0.000
4,4294967295,N/A,N/A,hcom_allGather__503_4_1,hcom_allGather_,N/A,COMMUNICATION,1777097775390459.060	,1017.480,1.740000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,37419,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775391478.900	,2.160,2.520000,8,0,NO,"""8192""",FLOAT,ND,"""8192""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239,17847,0.031,0.025,0.189,0.152,0.316,0.255,0.14,0.113,0.121,0.000
4,4294967295,N/A,N/A,hcom_allGather__503_5_1,hcom_allGather_,N/A,COMMUNICATION,1777097775391483.100	,1275.140,1.840000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,37422,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775392760.480	,4.280,2.360000,40,0,NO,"""262144""",FLOAT,ND,"""262144""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.277,163954,0.079,0.035,0.771,0.339,1.159,0.509,0.182,0.08,0.023,0.000
4,4294967295,N/A,N/A,hcom_allGather__503_6_1,hcom_allGather_,N/A,COMMUNICATION,1777097775392767.140	,1365.280,2.470000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,4294967295,37425,47,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1777097775394134.880	,1.580,2.470000,4,0,NO,"""4096""",FLOAT,ND,"""4096""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792,5699,0.031,0.039,0.297,0.375,0.281,0.355,0.147,0.186,0.0,0.000
4,4294967295,N/A,N/A,hcom_allGather__503_7_1,hcom_allGather_,N/A,COMMUNICATION,1777097775394149.740	,1467.260,13.170000,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
